,tile_id,accepted_number_of_marks
365,SWC0089_3_1,1
366,SWC0089_3_2,1
367,SWC0089_3_3,0
368,SWC0089_4_1,0
369,SWC0089_4_2,0
370,SWC0089_4_3,0
371,SWC0090_1_1,3
372,SWC0090_1_2,0
373,SWC0090_1_3,0
374,SWC0090_2_1,2
375,SWC0090_2_2,0
376,SWC0090_2_3,0
377,SWC0090_3_1,1
378,SWC0090_3_2,10
379,SWC0090_3_3,0
380,SWC0090_4_1,1
381,SWC0090_4_2,5
382,SWC0090_4_3,1
383,SWC0091_1_1,1
384,SWC0091_1_2,0
385,SWC0091_1_3,0
386,SWC0091_2_1,3
387,SWC0091_2_2,0
388,SWC0091_2_3,0
389,SWC0091_3_1,1
390,SWC0091_3_2,0
391,SWC0091_3_3,0
392,SWC0091_4_1,3
393,SWC0091_4_2,0
394,SWC0091_4_3,0
395,SWC0092_1_1,0
396,SWC0092_1_2,1
397,SWC0092_1_3,2
398,SWC0092_2_1,0
399,SWC0092_2_2,7
400,SWC0092_2_3,6
401,SWC0092_3_1,0
402,SWC0092_3_2,5
403,SWC0092_3_3,2
404,SWC0092_4_1,0
405,SWC0092_4_2,2
406,SWC0092_4_3,4
407,SWC0093_1_1,0
408,SWC0093_1_2,0
409,SWC0093_1_3,0
410,SWC0093_2_1,0
411,SWC0093_2_2,0
412,SWC0093_2_3,0
413,SWC0093_3_1,1
414,SWC0093_3_2,0
415,SWC0093_3_3,0
416,SWC0093_4_1,0
417,SWC0093_4_2,0
418,SWC0093_4_3,0
419,SWC0110_1_1,0
420,SWC0110_1_2,2
421,SWC0110_1_3,9
422,SWC0110_2_1,3
423,SWC0110_2_2,6
424,SWC0110_2_3,0
425,SWC0110_3_1,16
426,SWC0110_3_2,13
427,SWC0110_3_3,4
428,SWC0110_4_1,0
429,SWC0110_4_2,0
430,SWC0110_4_3,0
431,SWC0112_1_1,0
432,SWC0112_1_2,3
433,SWC0112_1_3,7
434,SWC0112_2_1,0
435,SWC0112_2_2,1
436,SWC0112_2_3,1
437,SWC0112_3_1,0
438,SWC0112_3_2,0
439,SWC0112_3_3,1
440,SWC0112_4_1,0
441,SWC0112_4_2,0
442,SWC0112_4_3,0
443,SWC0115_1_1,0
444,SWC0115_1_2,0
445,SWC0115_1_3,0
446,SWC0115_2_1,0
447,SWC0115_2_2,0
448,SWC0115_2_3,0
449,SWC0115_3_1,0
450,SWC0115_3_2,0
451,SWC0115_3_3,0
452,SWC0115_4_1,2
453,SWC0115_4_2,2
454,SWC0115_4_3,0
455,SWC0116_1_1,0
456,SWC0116_1_2,6
457,SWC0116_1_3,1
458,SWC0116_2_1,1
459,SWC0116_2_2,18
460,SWC0116_2_3,1
461,SWC0116_3_1,0
462,SWC0116_3_2,3
463,SWC0116_3_3,5
464,SWC0116_4_1,0
465,SWC0116_4_2,17
466,SWC0116_4_3,3
467,SWC0117_1_1,0
468,SWC0117_1_2,0
469,SWC0117_1_3,2
470,SWC0117_2_1,0
471,SWC0117_2_2,0
472,SWC0117_2_3,0
473,SWC0117_3_1,0
474,SWC0117_3_2,0
475,SWC0117_3_3,0
476,SWC0117_4_1,0
477,SWC0117_4_2,0
478,SWC0117_4_3,0
479,SWC0118_1_1,0
480,SWC0118_1_2,2
481,SWC0118_1_3,0
482,SWC0118_2_1,0
483,SWC0118_2_2,0
484,SWC0118_2_3,0
485,SWC0118_3_1,0
486,SWC0118_3_2,0
487,SWC0118_3_3,0
488,SWC0118_4_1,0
489,SWC0118_4_2,0
490,SWC0118_4_3,0
491,SWC0119_1_1,0
492,SWC0119_1_2,0
493,SWC0119_1_3,0
494,SWC0119_2_1,0
495,SWC0119_2_2,0
496,SWC0119_2_3,0
497,SWC0119_3_1,1
498,SWC0119_3_2,0
499,SWC0119_3_3,0
500,SWC0119_4_1,0
501,SWC0119_4_2,1
502,SWC0119_4_3,1
503,SWC0120_1_1,3
504,SWC0120_1_2,5
505,SWC0120_1_3,0
506,SWC0120_2_1,0
507,SWC0120_2_2,1
508,SWC0120_2_3,1
509,SWC0120_3_1,5
510,SWC0120_3_2,4
511,SWC0120_3_3,3
512,SWC0120_4_1,0
513,SWC0120_4_2,0
514,SWC0120_4_3,6
515,SWC0122_1_1,0
516,SWC0122_1_2,0
517,SWC0122_1_3,3
518,SWC0122_2_1,0
519,SWC0122_2_2,0
520,SWC0122_2_3,6
521,SWC0122_3_1,0
522,SWC0122_3_2,0
523,SWC0122_3_3,2
524,SWC0122_4_1,0
525,SWC0122_4_2,0
526,SWC0122_4_3,1
527,SWC0128_1_1,2
528,SWC0128_1_2,0
529,SWC0128_1_3,1
530,SWC0128_2_1,1
531,SWC0128_2_2,2
532,SWC0128_2_3,0
533,SWC0128_3_1,2
534,SWC0128_3_2,0
535,SWC0128_3_3,1
536,SWC0128_4_1,1
537,SWC0128_4_2,2
538,SWC0128_4_3,3
